levekaar,lksnavn,grunnkrets
1508000016,Ålesund LKS 16,15080704
1508000017,Ålesund LKS 17,15080607
1508000018,Ålesund LKS 18,15080705
1508000018,Ålesund LKS 18,15080706
1508000019,Ålesund LKS 19,15080803
1508000020,Ålesund LKS 20,15080801
1508000020,Ålesund LKS 20,15080802
1508000021,Ålesund LKS 21,15080804
1508000022,Ålesund LKS 22,15080805
1508000023,Ålesund LKS 23,15080901
1508000024,Ålesund LKS 24,15081101
1508000024,Ålesund LKS 24,15081107
1508000024,Ålesund LKS 24,15081108
1508000024,Ålesund LKS 24,15081109
1508000024,Ålesund LKS 24,15081110
1508000024,Ålesund LKS 24,15081111
1508000025,Ålesund LKS 25,15081102
